SID,Test,TestLimb,BslDiff,Trial_num,AllStarts,AllStims,AllResponses,BinaryResponses
AFCdata_22,b,Left,2.20951963159797,1,-51,42,l,1
AFCdata_22,b,Left,2.20951963159797,2,64,-18,r,0
AFCdata_22,b,Left,2.20951963159797,3,-13,-28,r,0
AFCdata_22,b,Left,2.20951963159797,4,92,-8,r,0
AFCdata_22,b,Left,2.20951963159797,5,65,22,l,1
AFCdata_22,b,Left,2.20951963159797,6,-79,-38,r,0
AFCdata_22,b,Left,2.20951963159797,7,-0,2,l,1
AFCdata_22,b,Left,2.20951963159797,8,20,12,l,1
AFCdata_22,b,Left,2.20951963159797,9,108,32,l,1
AFCdata_22,b,Left,2.20951963159797,10,34,32,l,1
AFCdata_22,b,Left,2.20951963159797,11,-12,-8,r,0
AFCdata_22,b,Left,2.20951963159797,12,-32,-28,r,0
AFCdata_22,b,Left,2.20951963159797,13,-23,-18,r,0
AFCdata_22,b,Left,2.20951963159797,14,-2,12,l,1
AFCdata_22,b,Left,2.20951963159797,15,67,2,l,1
AFCdata_22,b,Left,2.20951963159797,16,-4,-38,r,0
AFCdata_22,b,Left,2.20951963159797,17,53,42,l,1
AFCdata_22,b,Left,2.20951963159797,18,51,22,l,1
AFCdata_22,b,Left,2.20951963159797,19,-75,-38,r,0
AFCdata_22,b,Left,2.20951963159797,20,-66,32,l,1
AFCdata_22,b,Left,2.20951963159797,21,7,12,l,1
AFCdata_22,b,Left,2.20951963159797,22,-24,-18,r,0
AFCdata_22,b,Left,2.20951963159797,23,55,42,l,1
AFCdata_22,b,Left,2.20951963159797,24,-13,2,r,0
AFCdata_22,b,Left,2.20951963159797,25,-53,-28,r,0
AFCdata_22,b,Left,2.20951963159797,26,1,22,r,0
AFCdata_22,b,Left,2.20951963159797,27,-42,-8,r,0
AFCdata_22,b,Left,2.20951963159797,28,-42,12,r,0
AFCdata_22,b,Left,2.20951963159797,29,-54,-28,r,0
AFCdata_22,b,Left,2.20951963159797,30,-13,22,l,1
AFCdata_22,b,Left,2.20951963159797,31,-4,-8,l,1
AFCdata_22,b,Left,2.20951963159797,32,-11,2,l,1
AFCdata_22,b,Left,2.20951963159797,33,-12,42,l,1
AFCdata_22,b,Left,2.20951963159797,34,-60,32,l,1
AFCdata_22,b,Left,2.20951963159797,35,49,-18,r,0
AFCdata_22,b,Left,2.20951963159797,36,25,-38,r,0
AFCdata_22,b,Left,2.20951963159797,37,28,12,l,1
AFCdata_22,b,Left,2.20951963159797,38,-7,-28,r,0
AFCdata_22,b,Left,2.20951963159797,39,53,-8,r,0
AFCdata_22,b,Left,2.20951963159797,40,11,2,r,0
AFCdata_22,b,Left,2.20951963159797,41,-20,-18,r,0
AFCdata_22,b,Left,2.20951963159797,42,-95,-38,r,0
AFCdata_22,b,Left,2.20951963159797,43,-1,42,l,1
AFCdata_22,b,Left,2.20951963159797,44,-73,32,l,1
AFCdata_22,b,Left,2.20951963159797,45,-35,22,l,1
AFCdata_22,b,Left,2.20951963159797,46,-51,-38,r,0
AFCdata_22,b,Left,2.20951963159797,47,-37,12,r,0
AFCdata_22,b,Left,2.20951963159797,48,51,-8,r,0
AFCdata_22,b,Left,2.20951963159797,49,-19,-28,r,0
AFCdata_22,b,Left,2.20951963159797,50,52,-18,r,0
AFCdata_22,b,Left,2.20951963159797,51,-21,42,l,1
