SID,Test,TestLimb,BslDiff,Trial_num,AllStarts,AllStims,AllResponses,BinaryResponses
AFCdata_12,a,Right,-2.27492008203615,1,-77,28,r,1
AFCdata_12,a,Right,-2.27492008203615,2,-58,18,r,1
AFCdata_12,a,Right,-2.27492008203615,3,-72,-42,l,0
AFCdata_12,a,Right,-2.27492008203615,4,26,38,r,1
AFCdata_12,a,Right,-2.27492008203615,5,-10,-22,l,0
AFCdata_12,a,Right,-2.27492008203615,6,-53,-2,r,1
AFCdata_12,a,Right,-2.27492008203615,7,-30,-12,l,0
AFCdata_12,a,Right,-2.27492008203615,8,9,-32,l,0
AFCdata_12,a,Right,-2.27492008203615,9,-37,8,r,1
AFCdata_12,a,Right,-2.27492008203615,10,-43,38,r,1
AFCdata_12,a,Right,-2.27492008203615,11,-87,28,r,1
AFCdata_12,a,Right,-2.27492008203615,12,18,-2,l,0
AFCdata_12,a,Right,-2.27492008203615,13,-26,-22,l,0
AFCdata_12,a,Right,-2.27492008203615,14,-33,-42,l,0
AFCdata_12,a,Right,-2.27492008203615,15,-53,8,r,1
AFCdata_12,a,Right,-2.27492008203615,16,-14,-32,l,0
AFCdata_12,a,Right,-2.27492008203615,17,-27,-12,l,0
AFCdata_12,a,Right,-2.27492008203615,18,19,18,r,1
AFCdata_12,a,Right,-2.27492008203615,19,5,8,r,1
AFCdata_12,a,Right,-2.27492008203615,20,40,-12,l,0
AFCdata_12,a,Right,-2.27492008203615,21,2,-32,l,0
AFCdata_12,a,Right,-2.27492008203615,22,4,18,r,1
AFCdata_12,a,Right,-2.27492008203615,23,-78,-42,l,0
AFCdata_12,a,Right,-2.27492008203615,24,12,-22,l,0
AFCdata_12,a,Right,-2.27492008203615,25,-5,38,r,1
AFCdata_12,a,Right,-2.27492008203615,26,-21,-2,l,0
AFCdata_12,a,Right,-2.27492008203615,27,5,28,r,1
AFCdata_12,a,Right,-2.27492008203615,28,57,-12,l,0
AFCdata_12,a,Right,-2.27492008203615,29,86,-2,l,0
AFCdata_12,a,Right,-2.27492008203615,30,36,18,r,1
AFCdata_12,a,Right,-2.27492008203615,31,-9,8,l,0
AFCdata_12,a,Right,-2.27492008203615,32,-8,38,r,1
AFCdata_12,a,Right,-2.27492008203615,33,89,-32,l,0
AFCdata_12,a,Right,-2.27492008203615,34,-17,-22,l,0
AFCdata_12,a,Right,-2.27492008203615,35,79,28,r,1
AFCdata_12,a,Right,-2.27492008203615,36,-19,-42,l,0
AFCdata_12,a,Right,-2.27492008203615,37,2,18,l,0
AFCdata_12,a,Right,-2.27492008203615,38,124,-2,l,0
AFCdata_12,a,Right,-2.27492008203615,39,-13,-12,l,0
AFCdata_12,a,Right,-2.27492008203615,40,-40,-32,l,0
AFCdata_12,a,Right,-2.27492008203615,41,50,38,r,1
AFCdata_12,a,Right,-2.27492008203615,42,-33,-22,l,0
AFCdata_12,a,Right,-2.27492008203615,43,54,28,l,0
AFCdata_12,a,Right,-2.27492008203615,44,-75,-42,l,0
AFCdata_12,a,Right,-2.27492008203615,45,-12,8,l,0
AFCdata_12,a,Right,-2.27492008203615,46,78,8,r,1
AFCdata_12,a,Right,-2.27492008203615,47,-35,-32,l,0
AFCdata_12,a,Right,-2.27492008203615,48,-10,-42,l,0
AFCdata_12,a,Right,-2.27492008203615,49,-16,-12,r,1
AFCdata_12,a,Right,-2.27492008203615,50,60,-2,l,0
AFCdata_12,a,Right,-2.27492008203615,51,-94,18,r,1
AFCdata_12,a,Right,-2.27492008203615,52,-46,38,r,1
AFCdata_12,a,Right,-2.27492008203615,53,35,28,r,1
AFCdata_12,a,Right,-2.27492008203615,54,-37,-22,l,0
AFCdata_12,a,Right,-2.27492008203615,55,9,38,r,1
AFCdata_12,a,Right,-2.27492008203615,56,14,8,l,0
