SID,Test,TestLimb,BslDiff,Trial_num,AllStarts,AllStims,AllResponses,BinaryResponses
AFCdata_10,a,Left,3.6590516047981,1,-7,34,l,1
AFCdata_10,a,Left,3.6590516047981,2,-32,-26,r,0
AFCdata_10,a,Left,3.6590516047981,3,64,44,l,1
AFCdata_10,a,Left,3.6590516047981,4,49,-36,r,0
AFCdata_10,a,Left,3.6590516047981,5,31,4,l,1
AFCdata_10,a,Left,3.6590516047981,6,-34,24,l,1
AFCdata_10,a,Left,3.6590516047981,7,-30,-16,r,0
AFCdata_10,a,Left,3.6590516047981,8,39,14,l,1
AFCdata_10,a,Left,3.6590516047981,9,-33,-6,r,0
AFCdata_10,a,Left,3.6590516047981,10,-24,14,l,1
AFCdata_10,a,Left,3.6590516047981,11,-47,-36,r,0
AFCdata_10,a,Left,3.6590516047981,12,-3,-16,r,0
AFCdata_10,a,Left,3.6590516047981,13,48,34,l,1
AFCdata_10,a,Left,3.6590516047981,14,46,24,l,1
AFCdata_10,a,Left,3.6590516047981,15,-20,4,r,0
AFCdata_10,a,Left,3.6590516047981,16,-32,-26,r,0
AFCdata_10,a,Left,3.6590516047981,17,-58,-6,l,1
AFCdata_10,a,Left,3.6590516047981,18,71,44,l,1
AFCdata_10,a,Left,3.6590516047981,19,-93,-26,r,0
AFCdata_10,a,Left,3.6590516047981,20,-49,44,l,1
AFCdata_10,a,Left,3.6590516047981,21,-55,14,l,1
AFCdata_10,a,Left,3.6590516047981,22,-24,-6,r,0
AFCdata_10,a,Left,3.6590516047981,23,-12,-36,r,0
AFCdata_10,a,Left,3.6590516047981,24,-4,34,l,1
AFCdata_10,a,Left,3.6590516047981,25,-60,24,l,1
AFCdata_10,a,Left,3.6590516047981,26,-22,-16,r,0
AFCdata_10,a,Left,3.6590516047981,27,-52,4,l,1
AFCdata_10,a,Left,3.6590516047981,28,35,34,l,1
AFCdata_10,a,Left,3.6590516047981,29,-37,-16,r,0
AFCdata_10,a,Left,3.6590516047981,30,-31,14,l,1
AFCdata_10,a,Left,3.6590516047981,31,-39,-36,r,0
AFCdata_10,a,Left,3.6590516047981,32,-71,-26,l,1
AFCdata_10,a,Left,3.6590516047981,33,-26,44,l,1
AFCdata_10,a,Left,3.6590516047981,34,14,24,l,1
AFCdata_10,a,Left,3.6590516047981,35,53,4,l,1
AFCdata_10,a,Left,3.6590516047981,36,30,-6,r,0
AFCdata_10,a,Left,3.6590516047981,37,-33,-16,r,0
AFCdata_10,a,Left,3.6590516047981,38,-23,34,l,1
AFCdata_10,a,Left,3.6590516047981,39,44,-6,r,0
AFCdata_10,a,Left,3.6590516047981,40,-64,-36,r,0
AFCdata_10,a,Left,3.6590516047981,41,-64,4,l,1
AFCdata_10,a,Left,3.6590516047981,42,80,14,l,1
AFCdata_10,a,Left,3.6590516047981,43,-63,44,l,1
AFCdata_10,a,Left,3.6590516047981,44,36,24,l,1
AFCdata_10,a,Left,3.6590516047981,45,53,-26,r,0
AFCdata_10,a,Left,3.6590516047981,46,53,24,l,1
AFCdata_10,a,Left,3.6590516047981,47,-55,-26,r,0
AFCdata_10,a,Left,3.6590516047981,48,-75,-6,r,0
AFCdata_10,a,Left,3.6590516047981,49,-3,4,l,1
AFCdata_10,a,Left,3.6590516047981,50,-49,-16,r,0
AFCdata_10,a,Left,3.6590516047981,51,31,14,l,1
AFCdata_10,a,Left,3.6590516047981,52,-7,34,l,1
AFCdata_10,a,Left,3.6590516047981,53,-72,44,l,1
AFCdata_10,a,Left,3.6590516047981,54,58,-36,r,0
AFCdata_10,a,Left,3.6590516047981,55,28,-26,r,0
AFCdata_10,a,Left,3.6590516047981,56,91,14,l,1
AFCdata_10,a,Left,3.6590516047981,57,-18,-36,r,0
AFCdata_10,a,Left,3.6590516047981,58,45,-16,l,1
AFCdata_10,a,Left,3.6590516047981,59,78,24,l,1
AFCdata_10,a,Left,3.6590516047981,60,-74,-6,l,1
AFCdata_10,a,Left,3.6590516047981,61,13,4,l,1
AFCdata_10,a,Left,3.6590516047981,62,55,44,l,1
AFCdata_10,a,Left,3.6590516047981,63,-50,34,l,1
AFCdata_10,a,Left,3.6590516047981,64,-45,-16,r,0
AFCdata_10,a,Left,3.6590516047981,65,-63,24,l,1
AFCdata_10,a,Left,3.6590516047981,66,-35,-36,r,0
AFCdata_10,a,Left,3.6590516047981,67,67,34,l,1
AFCdata_10,a,Left,3.6590516047981,68,-63,4,l,1
AFCdata_10,a,Left,3.6590516047981,69,6,-6,r,0
AFCdata_10,a,Left,3.6590516047981,70,-49,14,l,1
AFCdata_10,a,Left,3.6590516047981,71,-14,-26,r,0
