SID,Test,TestLimb,BslDiff,Trial_num,AllStarts,AllStims,AllResponses,BinaryResponses
AFCdata_14,a,Right,-1.93011455564755,1,-14,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,2,19,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,3,-3,28,r,1
AFCdata_14,a,Right,-1.93011455564755,4,-9,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,5,18,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,6,-39,18,r,1
AFCdata_14,a,Right,-1.93011455564755,7,51,38,r,1
AFCdata_14,a,Right,-1.93011455564755,8,44,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,9,45,8,l,0
AFCdata_14,a,Right,-1.93011455564755,10,64,8,l,0
AFCdata_14,a,Right,-1.93011455564755,11,77,18,l,0
AFCdata_14,a,Right,-1.93011455564755,12,-58,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,13,-18,38,r,1
AFCdata_14,a,Right,-1.93011455564755,14,-32,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,15,-59,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,16,-57,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,17,-21,28,r,1
AFCdata_14,a,Right,-1.93011455564755,18,-15,-2,r,1
AFCdata_14,a,Right,-1.93011455564755,19,-53,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,20,-39,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,21,-42,-12,r,1
AFCdata_14,a,Right,-1.93011455564755,22,-14,38,r,1
AFCdata_14,a,Right,-1.93011455564755,23,61,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,24,-102,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,25,64,18,r,1
AFCdata_14,a,Right,-1.93011455564755,26,53,28,r,1
AFCdata_14,a,Right,-1.93011455564755,27,-73,8,l,0
AFCdata_14,a,Right,-1.93011455564755,28,-45,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,29,11,18,r,1
AFCdata_14,a,Right,-1.93011455564755,30,32,28,r,1
AFCdata_14,a,Right,-1.93011455564755,31,-3,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,32,22,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,33,28,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,34,75,38,r,1
AFCdata_14,a,Right,-1.93011455564755,35,-21,8,l,0
AFCdata_14,a,Right,-1.93011455564755,36,9,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,37,6,18,l,0
AFCdata_14,a,Right,-1.93011455564755,38,23,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,39,-50,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,40,-36,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,41,-62,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,42,50,38,r,1
AFCdata_14,a,Right,-1.93011455564755,43,-36,28,r,1
AFCdata_14,a,Right,-1.93011455564755,44,-25,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,45,18,8,l,0
AFCdata_14,a,Right,-1.93011455564755,46,-33,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,47,71,18,r,1
AFCdata_14,a,Right,-1.93011455564755,48,50,38,r,1
AFCdata_14,a,Right,-1.93011455564755,49,35,8,l,0
AFCdata_14,a,Right,-1.93011455564755,50,-28,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,51,40,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,52,-86,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,53,-101,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,54,16,28,r,1
AFCdata_14,a,Right,-1.93011455564755,55,-15,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,56,4,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,57,-48,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,58,51,38,r,1
AFCdata_14,a,Right,-1.93011455564755,59,45,28,r,1
AFCdata_14,a,Right,-1.93011455564755,60,6,18,r,1
AFCdata_14,a,Right,-1.93011455564755,61,45,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,62,-7,8,l,0
AFCdata_14,a,Right,-1.93011455564755,63,16,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,64,-27,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,65,-75,38,r,1
AFCdata_14,a,Right,-1.93011455564755,66,4,-2,r,1
AFCdata_14,a,Right,-1.93011455564755,67,-48,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,68,37,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,69,70,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,70,-49,8,l,0
AFCdata_14,a,Right,-1.93011455564755,71,54,18,r,1
AFCdata_14,a,Right,-1.93011455564755,72,38,28,r,1
AFCdata_14,a,Right,-1.93011455564755,73,11,28,r,1
AFCdata_14,a,Right,-1.93011455564755,74,-68,8,l,0
AFCdata_14,a,Right,-1.93011455564755,75,41,18,l,0
AFCdata_14,a,Right,-1.93011455564755,76,-14,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,77,-33,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,78,24,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,79,-38,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,80,-10,38,r,1
AFCdata_14,a,Right,-1.93011455564755,81,-11,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,82,-21,18,r,1
AFCdata_14,a,Right,-1.93011455564755,83,-65,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,84,44,38,r,1
AFCdata_14,a,Right,-1.93011455564755,85,2,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,86,-44,8,l,0
AFCdata_14,a,Right,-1.93011455564755,87,39,28,r,1
AFCdata_14,a,Right,-1.93011455564755,88,-53,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,89,-40,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,90,24,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,91,73,18,r,1
AFCdata_14,a,Right,-1.93011455564755,92,-10,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,93,-52,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,94,16,8,l,0
AFCdata_14,a,Right,-1.93011455564755,95,37,28,r,1
AFCdata_14,a,Right,-1.93011455564755,96,22,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,97,-49,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,98,15,38,r,1
AFCdata_14,a,Right,-1.93011455564755,99,-18,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,100,-8,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,101,-61,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,102,40,18,r,1
AFCdata_14,a,Right,-1.93011455564755,103,-8,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,104,-10,8,l,0
AFCdata_14,a,Right,-1.93011455564755,105,-69,28,r,1
AFCdata_14,a,Right,-1.93011455564755,106,-19,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,107,-60,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,108,30,38,r,1
AFCdata_14,a,Right,-1.93011455564755,109,58,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,110,52,38,r,1
AFCdata_14,a,Right,-1.93011455564755,111,-49,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,112,58,8,r,1
AFCdata_14,a,Right,-1.93011455564755,113,10,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,114,42,28,r,1
AFCdata_14,a,Right,-1.93011455564755,115,-23,18,r,1
AFCdata_14,a,Right,-1.93011455564755,116,72,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,117,23,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,118,-26,18,r,1
AFCdata_14,a,Right,-1.93011455564755,119,-65,-2,l,0
AFCdata_14,a,Right,-1.93011455564755,120,-24,-22,l,0
AFCdata_14,a,Right,-1.93011455564755,121,-73,-32,l,0
AFCdata_14,a,Right,-1.93011455564755,122,47,8,l,0
AFCdata_14,a,Right,-1.93011455564755,123,-31,-42,l,0
AFCdata_14,a,Right,-1.93011455564755,124,-21,28,r,1
AFCdata_14,a,Right,-1.93011455564755,125,-33,-12,l,0
AFCdata_14,a,Right,-1.93011455564755,126,-8,38,r,1
